nom_standard,F18-24,population,POURCENTAGE_ETUDIANTS
Sainte-Pazanne,1484.0,7111,20.86907607931374
Noé,728.0,3488,20.871559633027523
Luc-sur-Mer,677.0,3241,20.888614625115707
Saint-Nazaire,15863.0,75940,20.888859626020544
Mormant,1068.0,5104,20.924764890282134
Gex,2764.0,13177,20.975942930864385
Saint-Bonnet-de-Mure,1444.0,6876,21.000581733566026
Penne-d'Agenais,503.0,2395,21.002087682672233
Péaule,571.0,2718,21.008094186902134
Scaër,1102.0,5245,21.010486177311723
Bœrsch,511.0,2430,21.02880658436214
Palavas-les-Flots,1209.0,5748,21.03340292275574
Châtelaudren-Plouagat,832.0,3955,21.036662452591656
Ruffec,831.0,3950,21.037974683544302
Chaumes-en-Retz,1484.0,7049,21.052631578947366
Dabo,502.0,2384,21.05704697986577
Blangy-sur-Bresle,607.0,2882,21.0617626648161
Herbignac,1493.0,7088,21.063769751693002
Savigné-l'Évêque,856.0,4062,21.073362875430824
Plomeur,813.0,3855,21.089494163424124
Stiring-Wendel,2329.0,11043,21.0902834374717
Le Lion-d'Angers,1097.0,5201,21.09209767352432
Chalonnes-sur-Loire,1366.0,6475,21.096525096525095
Évellys,727.0,3446,21.096923969820082
Saint-Martin-d'Auxigny,525.0,2484,21.135265700483092
Corcoué-sur-Logne,650.0,3074,21.14508783344177
Le Boupère,680.0,3208,21.197007481296758
Néris-les-Bains,549.0,2588,21.213292117465222
Breteuil,1806.0,8513,21.21461294490779
Chabanière,896.0,4223,21.217144210277052
Saint-Sylvestre-sur-Lot,503.0,2367,21.250528094634557
Valenciennes,9083.0,42738,21.252749309747763
Lespignan,706.0,3318,21.277878239903554
La Croix-en-Touraine,513.0,2410,21.286307053941908
Gretz-Armainvilliers,1802.0,8459,21.30275446270245
Saujon,1534.0,7200,21.305555555555557
Sallebœuf,578.0,2710,21.328413284132843
Nancy,22293.0,104403,21.352834688658373
Tournan-en-Brie,1802.0,8429,21.378573970815044
Tonnay-Charente,1742.0,8142,21.39523458609678
Montréal,839.0,3912,21.44683026584867
Breteil,779.0,3632,21.448237885462554
Chavagnes-en-Paillers,770.0,3572,21.556550951847704
Labenne,1495.0,6934,21.560426882030573
Roscoff,725.0,3362,21.56454491374182
Mutzig,1316.0,6083,21.634062140391254
Lumbres,775.0,3582,21.635957565605807
Somain,2568.0,11869,21.636195130171036
Le Folgoët,701.0,3239,21.642482247607287
Verdun-sur-Garonne,1046.0,4831,21.65183191885738
Onet-le-Château,2556.0,11797,21.66652538781046
Veigné,1411.0,6511,21.671018276762403
Saint-Gervais-les-Bains,1217.0,5606,21.708883339279346
Montsûrs,693.0,3191,21.717329990598557
Nazelles-Négron,766.0,3525,21.73049645390071
Saint-Symphorien-sur-Coise,805.0,3704,21.73326133909287
Falck,548.0,2520,21.746031746031747
Pouilly-sous-Charlieu,558.0,2562,21.779859484777518
Clamecy,833.0,3822,21.794871794871796
Valdallière,1250.0,5735,21.795989537925024
Bordeaux,56648.0,259809,21.803709648241593
La Gacilly,867.0,3974,21.816809260191246
Saint-Georges-d'Espéranche,757.0,3466,21.840738603577613
Lanton,1589.0,7273,21.847930702598653
Cossé-le-Vivien,707.0,3229,21.89532362960669
Beauvoisin,1198.0,5469,21.905284329859207
Lagny-sur-Marne,4634.0,21139,21.921566772316574
Soual,576.0,2627,21.926151503616293
Thizy-les-Bourgs,1304.0,5944,21.93808882907133
Bellegarde,2012.0,9161,21.962667831022813
Frossay,709.0,3228,21.964064436183396
Arbois,712.0,3239,21.982093238653906
Le Mené,1411.0,6412,22.005614472863382
Ugine,1574.0,7135,22.060266292922215
La Mézière,1091.0,4935,22.10739614994934
Fresnay-sur-Sarthe,637.0,2871,22.187391152908393
Saint-Dolay,571.0,2570,22.217898832684824
Auneau-Bleury-Saint-Symphorien,1387.0,6230,22.263242375601926
Pleumeleuc,779.0,3499,22.263503858245212
Courpière,893.0,4005,22.29712858926342
Soufflenheim,1070.0,4796,22.31025854879066
Fumay,710.0,3181,22.320025149324113
Callian,793.0,3548,22.350620067643742
Val d'Erdre-Auxence,1097.0,4908,22.351263243683782
Sainte-Mère-Église,676.0,3021,22.37669645812645
Bapaume,840.0,3749,22.405974926647108
Le Tréport,996.0,4441,22.427381220445845
Neuville-sur-Sarthe,553.0,2461,22.47054043071922
Plobannalec-Lesconil,813.0,3615,22.4896265560166
Mougins,4540.0,20180,22.497522299306244
Locmaria-Plouzané,1152.0,5115,22.521994134897362
Mauléon,1944.0,8623,22.54435811202598
Domérat,1961.0,8698,22.54541273856059
Aigondigné,1056.0,4683,22.549647661755284
Griesheim-près-Molsheim,511.0,2266,22.550750220653136
Mourenx,1332.0,5903,22.564797560562425
Huisseau-sur-Cosson,524.0,2322,22.566752799310937
Blaye-les-Mines,661.0,2925,22.5982905982906
Saint-Quentin-la-Poterie,690.0,3049,22.630370613315844
Sainte-Hélène,1200.0,5297,22.654332641117612
Longages,728.0,3213,22.657952069716774
Noyal-Muzillac,571.0,2520,22.658730158730158
Andouillé,526.0,2321,22.662645411460577
Cinq-Mars-la-Pile,867.0,3822,22.684458398744113
Les Portes du Coglais,518.0,2283,22.689443714410864
Coulommiers,3394.0,14953,22.697786397378454
Le Molay-Littry,688.0,3030,22.706270627062704
Flers,3409.0,15012,22.70849986677325
Durtal,760.0,3343,22.73407119353874
Brazey-en-Plaine,541.0,2378,22.750210260723296
Sarre-Union,635.0,2791,22.751701898960945
Tinténiac,859.0,3774,22.760996290408055
Bourgueil,867.0,3808,22.767857142857142
Bagnols-en-Forêt,658.0,2889,22.776047075112498
Villefontaine,4305.0,18891,22.78862950611402
La Tour-du-Pin,1861.0,8148,22.839960726558665
Tourrettes,658.0,2874,22.89491997216423
Esvres,1411.0,6161,22.90212627820159
Cusset,2904.0,12677,22.907627987694248
Jard-sur-Mer,612.0,2670,22.92134831460674
Feucherolles,688.0,3001,22.925691436187936
Herrlisheim,1070.0,4666,22.931847406772395
Verneuil-en-Halatte,1088.0,4738,22.96327564373153
Altkirch,1300.0,5658,22.976316719688935
Vidauban,2921.0,12693,23.01268415662176
Gallargues-le-Montueux,828.0,3596,23.02558398220245
La Broque,601.0,2609,23.035645841318512
Port-Jérôme-sur-Seine,2365.0,10264,23.04169914263445
Septfonds,521.0,2261,23.042901371074745
Salles,2002.0,8681,23.06185923280728
Servon-sur-Vilaine,884.0,3823,23.12320167407795
Marzan,571.0,2468,23.136142625607782
Monnaie,1083.0,4678,23.15091919623771
Arc-lès-Gray,577.0,2492,23.15409309791332
Thyez,1490.0,6419,23.21233837046269
Ouzouer-sur-Loire,602.0,2593,23.21635171615889
Rieumes,850.0,3659,23.230390817163162
Moulins,4706.0,20235,23.256733382752657
Mane,538.0,2307,23.320329432162982
Saint-Pol-sur-Ternoise,1136.0,4870,23.326488706365502
Saint-Gildas-des-Bois,878.0,3761,23.344855091730924
Auterive,2467.0,10565,23.350686228111687
Cany-Barville,700.0,2997,23.35669002335669
Braine,522.0,2232,23.387096774193548
Seurre,541.0,2313,23.389537397319497
Montesquieu-Volvestre,728.0,3109,23.41588935348987
Talange,1834.0,7832,23.416751787538303
Les Martres-de-Veyre,923.0,3941,23.420451662014717
Valgelon-La Rochette,978.0,4175,23.4251497005988
Saint-Pierre-d'Albigny,978.0,4168,23.464491362763916
La Garnache,1225.0,5220,23.467432950191572
Donnemarie-Dontilly,648.0,2760,23.47826086956522
Saint-Yzan-de-Soudiac,582.0,2478,23.486682808716708
Anglet,9477.0,40310,23.51029521210618
Saint-Geniès-Bellevue,591.0,2512,23.527070063694268
Domloup,884.0,3756,23.535676251331203
Ychoux,547.0,2323,23.547137322427893
La Gaubretière,734.0,3117,23.54828360603144
Liverdun,1354.0,5749,23.551922073404068
Lésigny,1802.0,7647,23.56479665228194
Paimbœuf,709.0,3008,23.570478723404257
Avon,3209.0,13606,23.585183007496692
Véretz,1083.0,4590,23.594771241830063
Jargeau,1107.0,4688,23.61348122866894
La Voulte-sur-Rhône,1141.0,4828,23.632974316487157
Bellevigne-en-Layon,1366.0,5780,23.633217993079587
Saint-Ferréol-d'Auroure,584.0,2468,23.66288492706645
Grand Bourgtheroulde,956.0,4038,23.67508667657256
Beaumont-en-Véron,637.0,2685,23.7243947858473
Jœuf,1564.0,6583,23.75816497037825
Yerville,598.0,2515,23.777335984095426
Montarnaud,987.0,4145,23.811821471652593
Clohars-Carnoët,1102.0,4625,23.827027027027025
Selles-sur-Cher,1064.0,4459,23.861852433281005
Cabourg,838.0,3511,23.867843919111365
Brette-les-Pins,508.0,2128,23.872180451127818
Sartrouville,12364.0,51746,23.893634290573186
Sillé-le-Guillaume,525.0,2195,23.917995444191344
La Gorgue,1349.0,5640,23.918439716312058
Saint-Thurial,509.0,2128,23.919172932330827
Malansac,526.0,2198,23.930846223839854
Munster,1184.0,4947,23.933697190216293
Montmélian,978.0,4064,24.06496062992126
L'Escarène,618.0,2562,24.121779859484775
Lorris,722.0,2988,24.16331994645248
Toury,624.0,2580,24.186046511627907
Podensac,788.0,3258,24.1866175567833
Doudeville,598.0,2472,24.190938511326863
Étréchy,1773.0,7323,24.211388775092175
Sucé-sur-Erdre,1774.0,7325,24.218430034129693
Romans-sur-Isère,7949.0,32818,24.221463830824547
Nailloux,958.0,3955,24.222503160556258
Laigné-en-Belin,557.0,2297,24.249020461471485
Bourg-Achard,956.0,3939,24.27011931962427
Trieux,638.0,2620,24.35114503816794
Reyrieux,1235.0,5050,24.455445544554454
Avesnes-sur-Helpe,1017.0,4158,24.458874458874458
Ballon-Saint Mars,553.0,2260,24.469026548672566
Monsempron-Libos,503.0,2054,24.488802336903603
Mouy,1291.0,5270,24.497153700189752
Montmirail,965.0,3935,24.52350698856417
Chasseneuil-sur-Bonnieure,761.0,3100,24.548387096774192
Janville-en-Beauce,624.0,2541,24.557260920897285
Brebières,1260.0,5128,24.570982839313572
Seillans,658.0,2674,24.60732984293194
