NOM,EPCI,F18-24
Lor,240200576,3
Louâtre,200071991,4
Loupeigne,200072031,3
Lucy-le-Bocage,240200584,7
Lugny,240200444,2
Luzoir,240200444,6
Ly-Fontaine,200040426,4
Maast-et-Violaine,240200519,2
Mâchecourt,240200576,4
Macogny,200071991,3
Macquigny,200071983,18
Magny-la-Fosse,240200493,2
Maissemy,240200493,7
Maizy,240200576,11
La Malmaison,240200576,4
Malzy,200071983,3
Manicamp,200071785,5
Marchais,240200576,15
Dhuys et Morin-en-Brie,200072031,27
Marcy,200071892,5
Marcy-sous-Marle,240200469,7
Marest-Dampcourt,200071785,7
Mareuil-en-Dôle,200072031,1
Marfontaine,240200444,1
Margival,240200501,8
Marigny-en-Orxois,240200584,7
Marizy-Sainte-Geneviève,200071991,0
Marizy-Saint-Mard,200071991,1
Marle,240200469,76
Marly-Gomont,200071983,12
Martigny,240200600,9
Martigny-Courpierre,200043495,3
Mauregny-en-Haye,240200576,8
Mayot,200071785,9
Mennessis,200071785,11
Mennevret,200071983,20
Mercin-et-Vaux,240200477,21
Merlieux-et-Fouquerolles,200071769,3
Mesbrecourt-Richecourt,240200469,5
Mesnil-Saint-Laurent,200071892,14
Meurival,240200576,1
Mézières-sur-Oise,200040426,14
Mézy-Moulins,200072031,13
Missy-aux-Bois,240200477,5
Missy-lès-Pierrepont,240200576,1
Missy-sur-Aisne,240200501,17
Molain,200071983,7
Molinchart,200043495,4
Monampteuil,240200501,4
Monceau-le-Neuf-et-Faucouzy,240200444,11
Monceau-lès-Leups,200071785,8
Monceau-le-Waast,240200469,4
Monceau-sur-Oise,200071983,4
Mondrepuis,240200600,27
Monnes,200071991,1
Mons-en-Laonnois,200043495,35
Montaigu,240200576,12
Montbavin,200071769,1
Montbrehain,240200493,20
Montchâlons,200043495,2
Montcornet,240200634,54
Mont-d'Origny,200040426,29
Montescourt-Lizerolles,200071892,60
Montfaucon,240200584,3
Montgobert,200071991,3
Montgru-Saint-Hilaire,240200519,0
Monthenault,200043495,4
Monthiers,200072031,8
Monthurel,200072031,4
Montigny-en-Arrouaise,240200493,17
Montigny-l'Allier,200072031,9
Montigny-le-Franc,240200469,4
Montigny-Lengrain,200071991,20
Montigny-lès-Condé,200072031,0
Montigny-sous-Marle,240200469,0
Montigny-sur-Crécy,240200469,8
Montlevon,200072031,6
Montloué,240200634,11
Mont-Notre-Dame,240200501,17
Montreuil-aux-Lions,240200584,45
Mont-Saint-Jean,240200600,4
Mont-Saint-Martin,240200501,0
Mont-Saint-Père,200072031,11
Morcourt,200071892,13
Morgny-en-Thiérache,240200634,3
Morsain,200071991,10
Mortefontaine,200071991,5
Mortiers,240200469,7
Moulins,240200592,0
Moussy-Verneuil,240200592,2
Moÿ-de-l'Aisne,200040426,24
Muret-et-Crouttes,240200519,4
Muscourt,240200576,0
Nampcelles-la-Cour,240200444,4
Nampteuil-sous-Muret,240200519,0
Nanteuil-la-Fosse,240200501,2
Nanteuil-Notre-Dame,200072031,0
Nauroy,240200493,18
Nesles-la-Montagne,200072031,34
Neufchâtel-sur-Aisne,240200576,8
Neuflieux,200071785,5
Neuilly-Saint-Front,200072031,74
Neuve-Maison,240200600,24
La Neuville-Bosmont,240200469,7
La Neuville-en-Beine,200071785,3
La Neuville-Housset,240200444,4
La Neuville-lès-Dorengt,240200444,11
Neuville-Saint-Amand,200071892,22
Neuville-sur-Ailette,240200592,3
Neuville-sur-Margival,240200501,4
Neuvillette,200040426,7
Nizy-le-Comte,240200576,10
Nogentel,200072031,29
Nogent-l'Artaud,240200584,63
Noircourt,240200634,0
Noroy-sur-Ourcq,200071991,7
Le Nouvion-en-Thiérache,240200444,80
Nouvion-et-Catillon,240200469,16
Nouvion-le-Comte,240200469,3
Nouvion-le-Vineux,200043495,3
Nouvron-Vingré,200071991,3
Noyales,200071983,5
Bernoy-le-Château,240200477,14
Œuilly,240200592,6
Ognes,200071785,30
Ohis,240200600,7
Oigny-en-Valois,200071991,1
Oisy,200071983,19
Ollezy,200071892,2
Omissy,200071892,27
Orainville,240200576,8
Orgeval,200043495,0
Origny-en-Thiérache,240200600,41
Origny-Sainte-Benoite,200040426,61
Osly-Courtil,240200477,8
Ostel,240200501,3
