INSEE;NOM;EPCI;DEP;REG;F0-2;F3-5;F6-10;F11-17;F18-24;F25-39;F40-54;F55-64;F65-79;F80+;;H0-2;H3-5;H6-10;H11-17;H18-24;H25-39;H40-54;H55-64;H65-79;H80+
54418;Parroy;245400759;D54;R44;3;3;4;5;4;10;12;19;16;10;;1;1;6;4;3;13;14;20;14;6
54419;Parux;200069433;D54;R44;1;1;2;7;1;5;5;8;8;2;;0;0;1;3;2;3;7;4;11;1
54420;Petit-Failly;200043693;D54;R44;1;0;6;3;2;5;13;3;4;0;;0;1;2;10;7;3;12;8;5;1
54421;Petitmont;200069433;D54;R44;2;4;9;11;10;18;22;30;30;22;;4;2;8;16;11;21;31;36;25;3
54422;Pettonville;200070324;D54;R44;1;1;3;3;2;3;5;4;7;3;;0;0;3;5;0;5;10;4;5;2
54423;Pexonne;200069433;D54;R44;1;2;4;12;3;21;26;30;30;17;;3;4;14;27;10;25;33;40;29;8
54424;Phlin;200070589;D54;R44;0;0;3;2;2;3;7;1;5;0;;1;0;3;2;0;2;8;1;0;2
54425;Piennes;200070290;D54;R44;39;48;88;139;81;223;256;137;160;105;;40;37;83;154;82;226;227;152;146;54
54426;Pierre-la-Treiche;200070563;D54;R44;11;4;12;17;12;44;44;42;49;12;;5;12;13;15;7;40;47;34;49;5
54427;Pierre-Percée;200071066;D54;R44;0;1;3;4;1;4;7;10;13;1;;0;1;3;2;2;6;11;12;12;1
54428;Pierrepont;200043693;D54;R44;10;10;27;33;19;70;78;61;79;27;;15;9;22;45;33;74;81;69;67;23
54429;Pierreville;245400171;D54;R44;5;4;9;12;8;19;35;26;16;12;;3;5;9;8;9;22;45;22;23;5
54430;Pompey;245400601;D54;R44;70;78;143;210;182;447;429;294;370;316;;49;74;170;185;216;446;436;283;305;153
54431;Pont-à-Mousson;200041515;D54;R44;184;296;525;642;495;1420;1329;982;978;606;;271;253;479;683;585;1310;1411;803;824;282
54432;Pont-Saint-Vincent;245400171;D54;R44;23;32;49;70;75;184;157;126;144;82;;18;31;51;68;63;169;186;127;116;42
54433;Port-sur-Seille;200041515;D54;R44;3;5;9;9;8;22;25;17;13;8;;4;6;8;8;6;17;22;21;11;8
54434;Praye;200035772;D54;R44;4;5;5;13;9;19;39;9;20;10;;5;1;8;15;5;22;30;9;21;3
54435;Prény;200070738;D54;R44;5;12;8;10;8;29;36;32;32;6;;1;3;10;15;20;33;33;35;35;2
54436;Preutin-Higny;200070290;D54;R44;2;1;3;9;5;15;18;6;13;3;;8;3;3;4;4;16;14;13;9;3
54437;Pulligny;245400171;D54;R44;15;18;31;51;34;88;126;108;78;40;;20;23;29;48;39;82;117;91;88;22
54438;Pulney;245400510;D54;R44;0;0;0;3;0;6;5;3;3;4;;1;0;5;2;2;5;4;4;5;3
54439;Pulnoy;245400676;D54;R44;90;81;158;228;145;461;498;391;490;217;;82;99;159;234;146;389;422;311;415;119
54440;Puxe;200070845;D54;R44;4;2;3;4;4;6;15;7;9;3;;4;2;2;9;7;8;13;11;7;0
54441;Puxieux;200070738;D54;R44;2;2;4;13;10;11;35;18;13;3;;3;4;5;13;12;22;30;18;14;2
54442;Quevilloncourt;200035772;D54;R44;2;2;2;2;2;11;8;4;6;4;;3;0;3;8;5;9;12;6;7;1
54443;Raon-lès-Leau;200071066;D54;R44;0;0;3;0;0;1;6;2;3;1;;1;1;1;4;1;1;5;1;5;1
54444;Raucourt;200070589;D54;R44;6;5;10;8;3;23;23;12;16;3;;2;6;8;11;8;19;24;13;21;1
54445;Raville-sur-Sânon;245400759;D54;R44;0;0;3;4;2;8;13;8;4;4;;1;3;5;8;5;5;11;10;5;3
54446;Réchicourt-la-Petite;245400759;D54;R44;0;1;2;4;1;5;8;1;6;3;;1;1;0;5;5;3;7;6;5;1
54447;Réclonville;200069433;D54;R44;0;0;0;1;3;6;4;7;4;10;;0;0;4;2;3;5;3;10;8;2
54449;Rehainviller;200070324;D54;R44;27;20;34;55;21;103;102;67;92;23;;12;11;48;50;30;92;91;67;87;15
54450;Reherrey;200070324;D54;R44;1;2;3;8;3;13;13;7;12;7;;4;3;7;3;10;9;12;10;10;4
54451;Réhon;245400262;D54;R44;51;71;107;181;140;355;441;228;250;113;;54;56;116;194;140;364;412;227;205;94
54452;Reillon;200069433;D54;R44;0;1;3;5;1;4;12;5;6;1;;0;2;5;3;2;4;7;7;5;0
54453;Rembercourt-sur-Mad;200070738;D54;R44;4;3;1;7;3;16;17;17;9;2;;3;2;3;3;5;16;20;14;14;2
54455;Remenoville;200067643;D54;R44;1;3;5;7;3;15;14;11;11;6;;5;5;5;10;3;15;13;9;14;3
54456;Réméréville;200070589;D54;R44;7;12;17;32;23;65;63;39;32;9;;15;7;30;29;16;57;59;46;35;12
54457;Remoncourt;200069433;D54;R44;1;0;1;1;0;4;2;4;6;1;;0;0;1;3;2;3;3;3;6;2
54458;Repaix;200069433;D54;R44;0;1;3;2;2;9;10;4;13;5;;1;1;4;10;0;8;12;8;14;2
54459;Richardménil;245400171;D54;R44;32;18;45;70;55;147;226;233;290;51;;31;24;58;88;62;146;213;211;273;35
54460;Rogéville;200041515;D54;R44;1;2;9;9;4;10;17;9;15;2;;0;4;7;7;5;9;17;13;14;0
54461;Romain;200067643;D54;R44;1;1;2;4;2;8;8;4;5;1;;0;2;3;3;1;6;9;5;2;1
54462;Rosières-aux-Salines;245400189;D54;R44;34;35;88;119;73;269;291;198;212;127;;34;46;99;128;89;258;292;194;207;59
54463;Rosières-en-Haye;200041515;D54;R44;3;5;10;8;10;20;29;10;13;6;;3;5;14;10;6;19;31;12;14;4
54464;Rouves;200070589;D54;R44;3;3;9;5;4;10;12;5;2;1;;1;1;2;6;6;9;15;4;5;0
54465;Roville-devant-Bayon;200035772;D54;R44;10;12;29;45;19;65;77;52;51;26;;10;12;24;36;20;55;91;60;44;23
54466;Royaumeix;200070563;D54;R44;7;10;8;24;10;38;34;19;27;44;;4;10;17;13;13;32;33;24;23;14
54467;Rozelieures;200067643;D54;R44;2;4;6;13;5;12;23;12;12;6;;3;5;4;13;9;9;18;17;9;2
54468;Saffais;245400189;D54;R44;2;2;2;5;0;11;10;7;16;1;;2;3;2;3;4;6;9;8;15;3
54469;Saint-Ail;200070845;D54;R44;6;5;17;24;9;41;43;28;32;5;;9;12;14;23;5;37;47;24;31;2
54470;Saint-Baussant;200070738;D54;R44;4;1;2;3;2;7;5;6;3;6;;0;2;6;2;3;6;6;4;2;3
54471;Saint-Boingt;200067643;D54;R44;1;1;5;4;2;3;8;5;6;3;;0;0;2;2;2;4;8;7;8;3
54472;Saint-Clément;200070324;D54;R44;7;18;25;35;26;84;69;59;88;36;;14;19;25;32;20;76;67;54;83;18
54473;Saint-Firmin;200035772;D54;R44;3;3;7;10;7;18;28;16;17;53;;1;5;4;12;7;18;32;14;20;9
54474;Sainte-Geneviève;200041515;D54;R44;7;5;6;7;5;16;19;18;18;4;;0;3;1;8;8;21;17;15;16;3
54475;Saint-Germain;200067643;D54;R44;6;2;6;13;1;12;14;13;8;3;;1;1;3;8;6;8;21;13;11;5
54476;Saint-Jean-lès-Longuyon;200043693;D54;R44;9;13;16;14;7;40;49;19;28;11;;7;4;16;24;13;38;47;30;20;11
54477;Saint-Julien-lès-Gorze;200070738;D54;R44;4;4;9;11;1;19;16;15;6;2;;2;1;5;5;4;13;16;16;10;3
54478;Saint-Marcel;200070845;D54;R44;4;5;1;7;0;14;16;14;8;3;;6;3;1;7;3;17;17;13;9;2
54479;Saint-Mard;200067643;D54;R44;3;5;4;5;4;10;7;7;3;4;;2;1;4;3;4;9;10;8;3;3
54480;Saint-Martin;200069433;D54;R44;0;1;0;2;1;4;8;3;5;3;;0;0;1;3;0;4;7;5;3;4
54481;Saint-Maurice-aux-Forges;200069433;D54;R44;0;0;4;3;1;7;11;7;9;3;;2;2;3;7;1;5;12;9;8;4
54482;Saint-Max;245400676;D54;R44;155;154;270;387;450;1011;944;667;884;576;;131;137;281;420;405;904;881;506;626;258
